,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa,fc/MPa
81,0.82,0.43,1.26,1.55,20.0,1.5,80.0,73.25,67.0
123,0.636700648748841,0.443937087772704,1.7427701674277,2.73718924403856,12.5,0.5,80.0,52.56,54.77
61,0.49,0.35,1.2,2.44,15.0,1.0,40.0,66.7,69.6
0,0.49,0.49,1.42,2.9,20.0,0.5,55.0,29.42,36.03
106,0.95,0.33,1.69,1.79,20.0,0.57,70.0,39.6,42.77
176,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5,90.7
180,0.65,0.25,1.24,1.91,10.0,1.5,80.0,85.5,93.8
156,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,80.0,47.53,52.75
35,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.75,66.7,35.0,35.6
194,0.74,0.45,2.28,3.08,10.0,1.0,80.0,52.4,62.3
148,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,2.0,60.0,60.0,65.4
152,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,2.0,60.0,60.0,65.5
188,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7,70.6
202,1.04041570438799,0.45974025974026,2.54376058723885,2.44494635798984,19.0,1.0,80.0,49.88,55.3
30,0.538793103448276,0.28,1.38888888888889,2.57777777777778,10.0,0.5,54.5,72.4,73.6
229,1.38,0.68,3.1,2.25,10.0,0.75,80.0,35.1,32.8
52,0.8,0.38,2.09,2.62,19.0,1.0,65.0,60.1,69.3
71,0.82,0.54,1.68,2.05,20.0,1.0,80.0,56.13,54.83
66,0.82,0.54,1.68,2.05,20.0,1.5,55.0,56.13,56.43
235,0.44,0.36,1.18,2.66,15.0,0.5,65.0,49.1,53.5
179,0.65,0.25,1.24,1.91,10.0,1.0,80.0,85.5,91.6
160,0.622535211267606,0.605,1.6575,2.6625,25.0,0.5,67.0,26.4,27.0
48,0.8,0.38,2.09,2.62,19.0,1.0,65.0,56.2,66.9
127,0.872663551401869,0.565178571428571,2.22321428571429,2.54761904761905,10.0,0.9,57.6,53.7,56.3
142,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,1.0,60.0,60.0,68.6
205,1.04050925925926,0.36,2.17149758454106,2.08695652173913,19.0,0.5,80.0,63.34,66.87
1,0.49,0.49,1.42,2.9,20.0,1.0,55.0,29.42,33.48
34,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.5,37.5,35.0,36.2
193,0.74,0.45,2.28,3.08,10.0,0.5,80.0,52.4,55.8
248,0.54,0.24,1.11,2.06,20.0,0.75,55.0,103.6,119.7
228,1.38,0.68,3.1,2.25,10.0,0.5,80.0,35.1,31.9
