,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
164,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.25,67.0,47.9
62,0.51,0.35,1.2,2.35,15.0,1.6,40.0,66.7
242,0.67,0.42,1.74,2.6,20.0,1.0,60.0,47.53
221,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,1.0,85.0,56.8
185,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7
125,0.638418079096045,0.443937087772704,1.71993911719939,2.69406392694064,12.5,1.5,80.0,52.56
98,0.95,0.33,1.69,1.79,20.0,2.5,60.0,39.6
246,0.67,0.42,1.74,2.6,20.0,1.5,80.0,47.53
236,0.44,0.36,1.17,2.63,15.0,1.0,65.0,49.1
70,0.82,0.54,1.68,2.05,20.0,0.5,80.0,56.13
68,0.82,0.54,1.68,2.05,20.0,1.0,65.0,56.13
16,0.56,0.28,0.96,1.71,19.0,1.5,60.0,103.6
238,0.44,0.36,1.18,2.66,15.0,0.5,80.0,49.1
3,0.49,0.49,1.42,2.9,20.0,0.5,82.0,29.42
43,0.8,0.38,2.09,2.62,19.0,0.5,65.0,36.4
46,0.8,0.38,2.09,2.62,19.0,1.0,80.0,36.4
264,1.69,0.42,2.79,1.65,12.5,1.0,80.0,48.5
51,0.8,0.38,2.09,2.62,19.0,0.5,65.0,60.1
135,0.666064981949459,0.5,2.05,3.07777777777778,19.0,0.5,60.0,49.21
240,0.44,0.36,1.16,2.62,15.0,1.5,80.0,49.1
19,0.7,0.31,1.72,2.45,19.0,1.5,64.0,85.0
29,0.540540540540541,0.351111111111111,1.33333333333333,2.46666666666667,10.0,1.5,54.5,56.0
9,0.44,0.38,0.95,2.17,20.0,0.5,82.0,43.01
136,0.666064981949459,0.5,2.05,3.07777777777778,19.0,1.0,60.0,49.21
243,0.67,0.42,1.74,2.6,20.0,1.5,60.0,47.53
65,0.82,0.54,1.68,2.05,20.0,1.0,55.0,56.13
113,0.95,0.33,1.69,1.79,20.0,0.4,100.0,39.6
97,0.95,0.33,1.69,1.79,20.0,2.17,60.0,39.6
80,0.82,0.43,1.26,1.55,20.0,1.0,80.0,73.25
110,0.95,0.33,1.69,1.79,20.0,1.86,70.0,39.6
31,0.539130434782609,0.28,1.37777777777778,2.55555555555556,10.0,1.0,54.5,72.4
269,0.53,0.51,1.94,0.53,14.0,1.5,70.0,19.94
131,0.872162485065711,0.483879781420765,1.99453551912568,2.28688524590164,10.0,1.2,57.6,60.9
