,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
138,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,0.5,60.0,90.14
139,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,1.0,60.0,90.14
140,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,2.0,60.0,90.14
141,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,0.5,60.0,60.0
142,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,1.0,60.0,60.0
143,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,1.5,60.0,60.0
144,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,2.0,60.0,60.0
145,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,0.5,60.0,60.0
146,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,1.0,60.0,60.0
147,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,1.5,60.0,60.0
148,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,2.0,60.0,60.0
149,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,0.5,60.0,60.0
150,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,1.0,60.0,60.0
151,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,1.5,60.0,60.0
152,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,2.0,60.0,60.0
153,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.0,60.0,47.53
154,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,30.0,47.53
155,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,60.0,47.53
156,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,1.5,80.0,47.53
157,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,2.0,60.0,47.53
158,0.622535211267606,0.605,1.6575,2.6625,25.0,0.25,67.0,26.4
159,0.622535211267606,0.605,1.6575,2.6625,25.0,0.375,67.0,26.4
160,0.622535211267606,0.605,1.6575,2.6625,25.0,0.5,67.0,26.4
161,0.622535211267606,0.495,1.6575,2.6625,25.0,0.25,67.0,36.4
162,0.622535211267606,0.495,1.6575,2.6625,25.0,0.375,67.0,36.4
163,0.622535211267606,0.495,1.6575,2.6625,25.0,0.5,67.0,36.4
164,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.25,67.0,47.9
